Designator,Mid X,Mid Y,Rotation,Layer
Q10,7.81413,-44.316298,170.0,bottom
Q11,22.499982,-38.9711,150.0,bottom
Q12,34.471954,-28.925393,130.0,bottom
Q13,42.286175,-15.390892,110.0,bottom
Q14,45.0,0.0,90.0,bottom
Q15,42.286124,15.390908,70.0,bottom
Q16,34.472046,28.925407,50.0,bottom
Q17,22.500017,38.9711,30.0,bottom
Q18,7.81417,44.316302,10.0,bottom
Q2,-22.499983,38.9711,330.0,bottom
Q3,-34.471954,28.925393,310.0,bottom
Q4,-42.286176,15.390892,290.0,bottom
Q5,-45.0,0.0,270.0,bottom
Q6,-42.286125,-15.390908,250.0,bottom
Q7,-34.472046,-28.925407,230.0,bottom
Q8,-22.500018,-38.9711,210.0,bottom
Q9,-7.81417,-44.316301,190.0,bottom
R1,0.0,40.0,0.0,top
R10,-40.0,0.0,90.0,top
R11,-39.3923,-6.9459,100.0,top
R12,-37.5877,-13.6808,110.0,top
R13,-34.641,-20.0,120.0,top
R14,-30.6418,-25.7115,130.0,top
R15,-25.7115,-30.6418,140.0,top
R16,-20.0,-34.641,150.0,top
R17,-13.6808,-37.5877,160.0,top
R18,-6.9459,-39.3923,170.0,top
R19,0.0,-40.0,180.0,top
R2,-6.9459,39.3923,10.0,top
R20,6.9459,-39.3923,190.0,top
R21,13.6808,-37.5877,200.0,top
R22,20.0,-34.641,210.0,top
R23,25.7115,-30.6418,220.0,top
R24,30.6418,-25.7115,230.0,top
R25,34.641,-20.0,240.0,top
R26,37.5877,-13.6808,250.0,top
R27,39.3923,-6.9459,260.0,top
R28,40.0,0.0,270.0,top
R29,39.3923,6.9459,280.0,top
R3,-13.6808,37.5877,20.0,top
R30,37.5877,13.6808,290.0,top
R31,34.641,20.0,300.0,top
R32,30.6418,25.7115,310.0,top
R33,25.7115,30.6418,320.0,top
R34,20.0,34.641,330.0,top
R35,13.6808,37.5877,340.0,top
R36,6.9459,39.3923,350.0,top
R37,7.5,15.0,270.0,top
R38,4.5,15.0,270.0,top
R39,1.5,15.0,270.0,top
R4,-20.0,34.641,30.0,top
R40,-1.5,15.0,270.0,top
R41,-4.5,15.0,270.0,top
R42,-7.5,15.0,270.0,top
R43,-15.0,7.5,0.0,top
R44,-15.0,4.5,0.0,top
R45,-15.0,1.5,0.0,top
R46,-15.0,-1.5,0.0,top
R47,-15.0,-4.5,0.0,top
R48,-15.0,-7.5,0.0,top
R49,15.0,-7.5,180.0,top
R5,-25.7115,30.6418,40.0,top
R50,15.0,-4.5,180.0,top
R51,15.0,-1.5,180.0,top
R52,15.0,1.5,180.0,top
R53,15.0,4.5,180.0,top
R54,15.0,7.5,180.0,top
R55,-19.0,-7.5,180.0,top
R56,-6.5,4.0,90.0,top
R57,17.5,10.0,0.0,top
R58,-10.5,19.0,180.0,top
R6,-30.6418,25.7115,50.0,top
R7,-34.641,20.0,60.0,top
R8,-37.5877,13.6808,70.0,top
R9,-39.3923,6.9459,80.0,top
RV1,0.0,30.0,0.0,top
RV10,0.0,-30.0,180.0,top
RV11,10.2606,-28.1908,200.0,top
RV12,19.2836,-22.9813,220.0,top
RV13,25.9808,-15.0,240.0,top
RV14,29.5442,-5.2094,260.0,top
RV15,29.5442,5.2094,280.0,top
RV16,25.9808,15.0,300.0,top
RV17,19.2836,22.9813,320.0,top
RV18,10.2606,28.1908,340.0,top
RV2,-10.2606,28.1908,20.0,top
RV3,-19.2836,22.9813,40.0,top
RV4,-25.9808,15.0,60.0,top
RV5,-29.5442,5.2094,80.0,top
RV6,-29.5442,-5.2094,100.0,top
RV7,-25.9808,-15.0,120.0,top
RV8,-19.2836,-22.9813,140.0,top
RV9,-10.2606,-28.1908,160.0,top
SW1,-15.0,14.0,180.0,top
U1,0.0,0.0,315.0,top
U2,-12.5,-12.5,180.0,top
Y1,0.0,-10.5,0.0,top
